#B	dB	H	dH
0.999	0.03	-102	1.59e+03
0.997	0.0299	-102	1.59e+03
0.994	0.0298	-102	1.59e+03
0.989	0.0297	-101	1.58e+03
0.984	0.0295	-149	1.57e+03
0.978	0.0293	-207	1.56e+03
0.973	0.0292	-260	1.55e+03
0.967	0.029	-302	1.54e+03
0.962	0.0289	-338	1.54e+03
0.958	0.0287	-377	1.53e+03
0.953	0.0286	-408	1.52e+03
0.949	0.0285	-436	1.52e+03
0.945	0.0283	-466	1.51e+03
0.939	0.0282	-500	1.5e+03
0.933	0.028	-538	1.49e+03
0.927	0.0278	-576	1.48e+03
0.921	0.0276	-608	1.47e+03
0.915	0.0274	-640	1.46e+03
0.908	0.0273	-669	1.45e+03
0.902	0.0271	-697	1.44e+03
0.896	0.0269	-721	1.43e+03
0.891	0.0267	-746	1.42e+03
0.884	0.0265	-767	1.41e+03
0.878	0.0263	-793	1.4e+03
0.871	0.0261	-819	1.39e+03
0.863	0.0259	-847	1.38e+03
0.855	0.0256	-876	1.36e+03
0.846	0.0254	-901	1.35e+03
0.837	0.0251	-928	1.34e+03
0.828	0.0248	-952	1.32e+03
0.818	0.0245	-974	1.31e+03
0.808	0.0242	-995	1.29e+03
0.798	0.024	-1.01e+03	1.27e+03
0.789	0.0237	-1.03e+03	1.26e+03
0.781	0.0234	-1.04e+03	1.25e+03
0.773	0.0232	-1.05e+03	1.23e+03
0.765	0.0229	-1.06e+03	1.22e+03
0.758	0.0227	-1.07e+03	1.21e+03
0.75	0.0225	-1.08e+03	1.2e+03
0.743	0.0223	-1.09e+03	1.19e+03
0.737	0.0221	-1.09e+03	1.18e+03
0.731	0.0219	-1.1e+03	1.17e+03
0.725	0.0217	-1.1e+03	1.16e+03
0.718	0.0215	-1.11e+03	1.15e+03
0.713	0.0214	-1.11e+03	1.14e+03
0.707	0.0212	-1.12e+03	1.13e+03
0.7	0.021	-1.13e+03	1.12e+03
0.692	0.0208	-1.14e+03	1.1e+03
0.684	0.0205	-1.14e+03	1.09e+03
