#B	dB	H	dH
0.004	0.00012	-12.7	6.4
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.4
0.006	0.00018	-19	9.58
0.018	0.00054	-56	28.8
0.0375	0.00112	-114	59.9
0.0615	0.00184	-183	98.2
0.095	0.00285	-276	152
0.138	0.00414	-386	220
0.186	0.0056	-501	298
0.233	0.00699	-603	372
0.281	0.00842	-696	448
0.322	0.00966	-768	514
0.361	0.0108	-828	577
0.398	0.0119	-875	635
0.43	0.0129	-909	687
0.463	0.0139	-936	738
0.491	0.0147	-956	785
0.517	0.0155	-969	826
0.54	0.0162	-976	862
0.56	0.0168	-980	895
0.581	0.0174	-980	927
0.599	0.018	-979	956
0.618	0.0185	-971	986
0.637	0.0191	-961	1.02e+03
0.655	0.0197	-948	1.05e+03
0.674	0.0202	-931	1.08e+03
0.695	0.0209	-908	1.11e+03
0.716	0.0215	-883	1.14e+03
0.736	0.0221	-854	1.18e+03
0.757	0.0227	-818	1.21e+03
0.778	0.0233	-779	1.24e+03
0.8	0.024	-733	1.28e+03
0.819	0.0246	-687	1.31e+03
0.837	0.0251	-644	1.34e+03
0.853	0.0256	-600	1.36e+03
0.866	0.026	-563	1.38e+03
0.877	0.0263	-528	1.4e+03
0.888	0.0266	-489	1.42e+03
0.899	0.027	-448	1.44e+03
0.908	0.0272	-413	1.45e+03
0.916	0.0275	-379	1.46e+03
0.923	0.0277	-350	1.47e+03
0.93	0.0279	-317	1.49e+03
0.936	0.0281	-285	1.5e+03
0.945	0.0283	-238	1.51e+03
0.951	0.0285	-214	1.52e+03
0.955	0.0286	-199	1.52e+03
0.958	0.0287	-180	1.53e+03
0.962	0.0288	-157	1.54e+03
0.962	0.0289	-162	1.54e+03
0.962	0.0289	-163	1.54e+03
0.962	0.0289	-162	1.54e+03
0.962	0.0289	-162	1.54e+03
