# U/V   I/nA
0.25    10.3
0.35    8.9
0.45    7.63
0.55    6.4
0.65    5.1
0.75    4.24
0.85    3.2
0.95    2.2
1.05    1.39
1.15    0.66
1.25    0.05
1.35    -0.5
1.45    -1
1.55    -1.4
1.65    -1.66
1.75    -1.86
1.85    -1.92
1.95    -2
2.06    -2.02
2.15    -2
2.25    -2.03

2.25    -2.03
2.15    -2
2.05    -2
1.95    -1.98
1.85    -1.94
1.75    -1.84
1.65    -1.63
1.55    -1.2
1.45    -0.79
1.35    -0.27
1.25    -0.04
1.15    0.9
1.05    1.46
0.95    2.46
0.85    3.36
0.75    4.32
0.65    5.3
0.55    6.5
0.45    7.9
0.35    9.2
0.25    10.4
