"Cäsium"	"Cobalt"	"Europium"
108	106	89
0	0	2
1	2	0
1	1	0
0	1	2
1	1	1
1	1	1
0	1	2
1	0	3
1	0	0
3	3	1
2	1	1
0	1	3
2	1	2
0	1	0
1	1	3
3	0	1
0	2	2
2	2	0
2	1	4
0	1	3
0	1	4
3	3	2
2	0	2
1	1	0
0	1	2
0	0	3
1	0	6
1	2	2
0	0	4
1	1	2
0	2	1
1	0	1
1	0	2
1	1	1
0	0	1
2	2	1
1	2	1
1	1	2
1	0	0
1	0	1
1	1	0
1	1	3
0	0	0
0	4	2
2	0	2
2	0	1
1	1	0
0	0	0
0	2	1
4	1	0
2	1	1
2	0	5
1	0	2
1	2	4
2	0	2
2	1	2
1	3	1
1	1	1
0	1	1
0	1	2
1	1	4
3	1	4
0	0	0
1	0	3
1	0	0
2	2	1
1	1	3
1	0	0
0	1	0
2	1	2
1	0	1
1	0	0
2	2	1
0	1	1
3	1	3
2	0	1
0	0	2
2	0	2
2	2	3
0	0	1
1	3	3
1	2	1
0	1	5
1	0	1
1	0	1
3	1	0
1	1	2
2	0	1
2	0	0
0	0	0
1	3	0
1	0	2
2	1	2
4	2	2
2	3	1
1	0	1
1	4	3
1	3	1
2	1	2
1	0	1
4	1	3
0	1	0
1	1	2
3	1	2
2	0	4
0	0	0
4	0	0
3	1	0
0	1	1
0	0	1
0	1	2
0	0	1
2	1	2
0	0	2
1	0	1
4	3	1
0	0	4
1	2	2
0	3	4
3	3	1
0	1	0
1	2	3
1	0	4
1	0	2
1	1	1
3	1	0
2	1	4
1	1	1
3	2	2
1	2	3
1	0	2
1	1	4
2	2	4
1	2	2
2	0	2
3	1	2
1	3	1
0	0	3
1	2	1
2	4	4
4	2	2
4	1	3
4	3	2
2	4	4
1	1	4
7	2	3
4	4	4
4	2	6
3	4	5
7	8	10
10	6	8
8	18	18
16	18	13
25	14	23
28	25	37
40	37	44
59	67	52
62	77	55
103	98	94
104	97	125
139	113	160
154	140	150
175	126	156
178	143	185
178	154	186
214	177	194
210	187	189
221	169	183
239	169	189
239	205	238
232	171	224
269	192	244
260	188	224
228	190	212
276	191	245
276	192	232
290	183	260
269	207	232
287	198	244
286	182	257
317	187	244
325	191	259
359	186	257
339	193	277
366	192	242
372	193	309
340	166	262
383	178	311
372	191	324
439	212	329
395	183	301
448	172	299
437	198	333
444	185	348
485	184	335
511	186	319
461	202	380
496	201	343
554	200	373
522	227	401
562	223	371
609	207	395
626	194	438
626	189	394
672	202	441
659	187	453
751	196	471
686	220	480
735	205	471
727	211	471
763	180	520
790	187	523
794	189	523
792	223	544
829	210	596
802	203	591
875	184	589
851	192	612
876	199	609
913	186	668
887	207	701
939	202	691
889	227	689
914	204	689
879	204	694
924	206	719
933	188	739
879	216	768
914	216	844
939	202	826
884	211	865
971	188	910
903	199	865
940	199	941
867	191	989
922	229	978
841	195	1056
864	213	1041
814	199	1065
782	193	1186
824	206	1180
802	190	1170
822	228	1271
802	217	1258
746	234	1398
771	197	1341
772	192	1413
706	183	1486
752	219	1412
740	193	1607
698	211	1625
702	223	1738
711	221	1736
698	185	1798
623	210	1896
639	216	1926
568	214	1963
612	209	2065
631	222	2112
579	207	2222
528	183	2168
586	197	2314
533	211	2424
536	191	2416
524	210	2460
518	203	2610
490	202	2689
492	205	2753
499	196	2802
442	202	2911
505	190	2916
437	184	3080
419	209	2998
416	178	3005
429	204	3282
380	218	3185
392	208	3273
368	221	3260
374	213	3382
387	225	3400
391	219	3503
356	206	3493
356	204	3514
325	223	3648
337	203	3575
357	220	3627
362	196	3577
348	222	3623
362	222	3681
358	210	3702
275	225	3709
354	207	3645
299	206	3617
333	205	3763
303	202	3683
325	205	3612
277	217	3671
302	221	3614
344	210	3700
286	248	3577
310	222	3610
306	212	3463
267	210	3441
287	208	3399
284	217	3350
281	192	3432
279	225	3387
292	184	3261
244	201	3261
234	225	3100
299	208	3102
280	263	3084
257	229	3059
278	241	2923
261	201	2905
274	208	2826
290	197	2856
260	204	2745
279	228	2698
261	206	2504
288	236	2553
260	230	2476
233	186	2421
272	225	2459
292	202	2208
262	202	2232
277	239	2077
259	216	2064
251	206	2141
291	233	2089
281	204	2017
271	208	1932
257	225	1849
280	205	1785
280	218	1751
254	219	1756
272	208	1750
254	229	1614
278	237	1604
280	205	1610
258	221	1608
271	231	1517
274	238	1481
274	243	1412
254	247	1438
262	254	1328
260	230	1294
287	234	1287
279	253	1270
289	247	1263
280	214	1180
296	261	1202
309	231	1145
321	253	1105
263	217	1139
304	233	994
301	228	1046
284	211	1000
302	217	934
265	243	935
295	217	913
255	218	911
304	238	871
306	250	822
300	241	843
317	241	796
271	234	801
279	239	785
315	255	740
292	237	709
289	214	686
321	229	695
290	237	638
303	236	658
304	268	638
319	259	679
275	249	667
311	239	597
289	256	582
305	258	570
304	230	543
303	229	532
284	254	537
299	276	514
315	253	497
309	246	484
295	272	471
313	263	474
284	259	477
352	230	438
332	239	403
297	266	482
314	259	458
307	257	428
312	282	420
318	263	438
341	252	378
300	279	467
360	252	420
309	257	415
313	230	411
361	258	418
339	287	416
320	269	403
355	286	414
312	261	393
295	265	376
357	269	384
350	270	371
349	283	423
312	267	414
361	272	409
351	252	392
346	278	379
303	257	408
348	249	425
322	276	397
333	272	385
387	270	395
353	274	437
333	273	376
350	258	442
376	303	391
334	274	446
344	283	382
366	262	389
368	269	421
365	291	442
357	247	449
342	252	399
328	280	417
360	288	421
358	267	446
390	280	391
364	304	433
402	267	428
345	273	423
353	275	413
364	311	468
375	274	440
392	271	482
367	273	448
381	275	421
400	296	441
384	286	426
361	303	423
367	287	464
371	336	451
357	308	428
374	263	421
426	291	438
380	287	457
375	300	448
441	322	467
426	309	468
370	312	492
362	301	481
400	310	451
390	329	451
429	314	470
382	301	479
405	299	486
423	273	515
375	306	490
395	302	450
425	308	478
390	302	488
386	295	459
410	284	502
422	286	527
381	303	451
411	294	467
394	302	524
449	298	501
387	317	527
452	335	515
405	301	546
433	296	523
403	292	545
411	329	559
424	267	582
413	315	594
425	322	546
428	291	579
416	324	530
