"TIME","CH1","CH2"
-5.0200e-06,0.004375,0.361875
-5.0190e-06,0.20125,0.4
-5.0180e-06,0.117813,0.239375
-5.0170e-06,0.039375,0.359375
-5.0160e-06,0.0403125,0.359375
-5.0150e-06,0.04,0.360312
-5.0140e-06,0.0396875,0.241875
-5.0130e-06,0.0840625,0.477187
-5.0120e-06,0.0003125,0.360625
-5.0110e-06,0.2,0.319375
-5.0100e-06,0.08,0.36
-5.0090e-06,0,0.359687
-5.0080e-06,0.0003125,0.399688
-5.0070e-06,0.0403125,0.319375
-5.0060e-06,0.079375,0.439687
-5.0050e-06,0.04,0.282188
-5.0040e-06,0.122188,0.278437
-5.0030e-06,0.11875,0.399375
-5.0020e-06,0,0.32
-5.0010e-06,0.0796875,0.239688
-5.0000e-06,0.0403125,0.399375
-4.9990e-06,0.117188,0.36
-4.9980e-06,0.199375,0.359375
-4.9970e-06,0.0390625,0.28
-4.9960e-06,0.00125,0.32125
-4.9950e-06,0.079375,0.48
-4.9940e-06,-0.0403125,0.398125
-4.9930e-06,0.08125,0.359375
-4.9920e-06,0.039375,0.399688
-4.9910e-06,0.0384375,0.360312
-4.9900e-06,-0.0390625,0.482188
-4.9890e-06,0.160312,0.438125
-4.9880e-06,-0.0003125,0.319375
-4.9870e-06,0.0784375,0.32125
-4.9860e-06,0.03875,0.19875
-4.9850e-06,0.16,0.397188
-4.9840e-06,0.04,0.32
-4.9830e-06,0.12,0.359063
-4.9820e-06,0.0790625,0.399062
-4.9810e-06,-0.0003125,0.319375
-4.9800e-06,0.04,0.440313
-4.9790e-06,0,0.360625
-4.9780e-06,0.08125,0.359375
-4.9770e-06,0.07875,0.241563
-4.9760e-06,0,0.280625
-4.9750e-06,0.118125,0.398125
-4.9740e-06,0.12125,0.480938
-4.9730e-06,0.08125,0.36125
-4.9720e-06,0,0.438125
-4.9710e-06,0.03875,0.441875
-4.9700e-06,0.078125,0.240937
-4.9690e-06,0.120313,0.2775
-4.9680e-06,0.08,0.36
-4.9670e-06,0.119687,0.320937
-4.9660e-06,0.08,0.319688
-4.9650e-06,0.16,0.360312
-4.9640e-06,0.000625,0.31875
-4.9630e-06,0.0790625,0.441563
-4.9620e-06,0.0415625,0.240313
-4.9610e-06,0.0390625,0.435313
-4.9600e-06,0.07875,0.4
-4.9590e-06,0.119687,0.44
-4.9580e-06,0.0809375,0.24
-4.9570e-06,0.07875,0.317188
-4.9560e-06,0.159063,0.399688
-4.9550e-06,0.16,0.361563
-4.9540e-06,0.119375,0.28
-4.9530e-06,-0.0003125,0.360312
-4.9520e-06,0.0409375,0.19875
-4.9510e-06,0.08,0.320937
-4.9500e-06,0.0409375,0.48
-4.9490e-06,0.0003125,0.360625
-4.9480e-06,0.074375,0.320313
-4.9470e-06,0.20875,0.397188
-4.9460e-06,0,0.44
-4.9450e-06,0.19875,0.401875
-4.9440e-06,0.079375,0.32
-4.9430e-06,0.0396875,0.4
-4.9420e-06,0.041875,0.438125
-4.9410e-06,0.15875,0.319688
-4.9400e-06,-0.0834375,0.362812
-4.9390e-06,0.0021875,0.399375
-4.9380e-06,0.121562,0.2775
-4.9370e-06,0.158125,0.320625
-4.9360e-06,-0.000625,0.440937
-4.9350e-06,0.0784375,0.400625
-4.9340e-06,0.0825,0.23875
-4.9330e-06,0.04,0.44
-4.9320e-06,0.0403125,0.319063
-4.9310e-06,0.08,0.24
-4.9300e-06,0.08,0.320625
-4.9290e-06,0.0396875,0.44
-4.9280e-06,0.039375,0.318437
-4.9270e-06,0.0415625,0.280938
-4.9260e-06,0.0784375,0.400312
-4.9250e-06,-0.0396875,0.360625
-4.9240e-06,0.161563,0.359687
-4.9230e-06,0.12,0.359687
-4.9220e-06,-0.000625,0.440937
-4.9210e-06,-0.00125,0.401563
-4.9200e-06,0.0815625,0.240313
-4.9190e-06,-0.0396875,0.4
-4.9180e-06,0.04,0.36
-4.9170e-06,0,0.44
-4.9160e-06,0.08,0.359687
-4.9150e-06,-0.00125,0.440313
-4.9140e-06,0.0003125,0.439063
-4.9130e-06,0.0403125,0.36
-4.9120e-06,0.0390625,0.44
-4.9110e-06,0,0.359375
-4.9100e-06,0.12,0.3225
-4.9090e-06,0.1625,0.439687
-4.9080e-06,0.003125,0.440313
-4.9070e-06,0,0.520625
-4.9060e-06,-0.0015625,0.399375
-4.9050e-06,0.08,0.439687
-4.9040e-06,-0.08,0.4
-4.9030e-06,0.161875,0.44
-4.9020e-06,0.159375,0.359687
-4.9010e-06,0.0396875,0.4
-4.9000e-06,0.0790625,0.358125
-4.8990e-06,-0.040625,0.24
-4.8980e-06,0.04,0.359375
-4.8970e-06,0.040625,0.24
-4.8960e-06,0.199688,0.4
-4.8950e-06,0.0853125,0.32125
-4.8940e-06,0.0746875,0.396875
-4.8930e-06,0.16,0.400625
-4.8920e-06,0.119375,0.319688
-4.8910e-06,0.039375,0.359687
-4.8900e-06,0.0015625,0.279688
-4.8890e-06,0.16,0.359063
-4.8880e-06,0.0396875,0.359063
-4.8870e-06,0.160312,0.280313
-4.8860e-06,0.03875,0.32
-4.8850e-06,0.08,0.36
-4.8840e-06,0.04,0.28
-4.8830e-06,0.12,0.357813
-4.8820e-06,0.08,0.519062
-4.8810e-06,-0.04,0.280625
-4.8800e-06,0.0396875,0.323438
-4.8790e-06,0,0.439063
-4.8780e-06,0.120938,0.28
-4.8770e-06,0.159375,0.440313
-4.8760e-06,0.0790625,0.3575
-4.8750e-06,0.04,0.359687
-4.8740e-06,0.0815625,0.400312
-4.8730e-06,0.119063,0.48
-4.8720e-06,0.0390625,0.519375
-4.8710e-06,0.0803125,0.397813
-4.8700e-06,0.16,0.2
-4.8690e-06,0.0821875,0.36
-4.8680e-06,-0.04,0.360625
-4.8670e-06,0.04,0.359375
-4.8660e-06,0.0796875,0.359375
-4.8650e-06,0.0775,0.28
-4.8640e-06,-0.039375,0.360625
-4.8630e-06,0.16,0.32
-4.8620e-06,0.078125,0.360938
-4.8610e-06,0.0790625,0.359375
-4.8600e-06,0.00125,0.244063
-4.8590e-06,0.12,0.480313
-4.8580e-06,-0.0009375,0.319375
-4.8570e-06,0.080625,0.439375
-4.8560e-06,0.0796875,0.24
-4.8550e-06,0.121562,0.438125
-4.8540e-06,-0.0003125,0.32
-4.8530e-06,0.080625,0.48
-4.8520e-06,0.04,0.35875
-4.8510e-06,0.04,0.319688
-4.8500e-06,0,0.32
-4.8490e-06,0.0396875,0.359063
-4.8480e-06,0.000625,0.4
-4.8470e-06,0.12125,0.359687
-4.8460e-06,0.119375,0.400312
-4.8450e-06,0.039375,0.32
-4.8440e-06,-0.0003125,0.399688
-4.8430e-06,0,0.359375
-4.8420e-06,0.0003125,0.44
-4.8410e-06,0.0778125,0.319375
-4.8400e-06,0.2,0.32
-4.8390e-06,0.0803125,0.279688
-4.8380e-06,0.0809375,0.32
-4.8370e-06,0.119687,0.278437
-4.8360e-06,0.0403125,0.52
-4.8350e-06,0.200937,0.52125
-4.8340e-06,0.119687,0.19875
-4.8330e-06,0.159063,0.4
-4.8320e-06,-0.08,0.439375
-4.8310e-06,0.0403125,0.4
-4.8300e-06,0.04,0.319688
-4.8290e-06,-0.0025,0.359063
-4.8280e-06,0.0834375,0.36125
-4.8270e-06,-0.0403125,0.27875
-4.8260e-06,0.15875,0.44
-4.8250e-06,0.08,0.279375
