"TIME","CH1","CH2"
-2.0000e-06,0.115312,0.560938
-1.9996e-06,0.0771875,0.398438
-1.9992e-06,0.0834375,0.483125
-1.9988e-06,0.119063,0.433125
-1.9984e-06,0.0796875,0.405313
-1.9980e-06,0.12,0.521875
-1.9976e-06,0.119687,0.435938
-1.9972e-06,0.0415625,0.44
-1.9968e-06,0.000625,0.48
-1.9964e-06,0.0809375,0.403438
-1.9960e-06,0.0371875,0.359688
-1.9956e-06,0.0875,0.399688
-1.9952e-06,0.200937,0.4425
-1.9948e-06,0.116562,0.476563
-1.9944e-06,0.08,0.40375
-1.9940e-06,0.12125,0.561563
-1.9936e-06,0.079375,0.43375
-1.9932e-06,0.120313,0.484063
-1.9928e-06,0.0796875,0.47875
-1.9924e-06,0.120313,0.480938
-1.9920e-06,0.0396875,0.48
-1.9916e-06,0.122188,0.399688
-1.9912e-06,0.158125,0.484688
-1.9908e-06,0.04,0.556563
-1.9904e-06,0.155625,0.400313
-1.9900e-06,0.203125,0.5625
-1.9896e-06,0.08,0.476563
-1.9892e-06,0.121562,0.4775
-1.9888e-06,0,0.359375
-1.9884e-06,0.165,0.4
-1.9880e-06,0.153125,0.400313
-1.9876e-06,0.07875,0.519063
-1.9872e-06,0.124375,0.52
-1.9868e-06,0.115,0.514375
-1.9864e-06,0.0359375,0.354688
-1.9860e-06,0.0421875,0.405625
-1.9856e-06,0.0796875,0.445313
-1.9852e-06,0.04,0.51875
-1.9848e-06,0.11875,0.437813
-1.9844e-06,0.159688,0.481875
-1.9840e-06,0.03875,0.478125
-1.9836e-06,0.124688,0.440313
-1.9832e-06,0.118125,0.436563
-1.9828e-06,0.08,0.31875
-1.9824e-06,0.159063,0.449375
-1.9820e-06,0.165625,0.55375
-1.9816e-06,0.048125,0.396563
-1.9812e-06,0.0640625,0.481875
-1.9808e-06,0.123438,0.44
-1.9804e-06,0.0384375,0.48125
-1.9800e-06,0.159688,0.400625
-1.9796e-06,0.0803125,0.476563
-1.9792e-06,0.199688,0.479375
-1.9788e-06,-0.0040625,0.483125
-1.9784e-06,0.080625,0.36
-1.9780e-06,0.04,0.440938
-1.9776e-06,0.156875,0.399375
-1.9772e-06,0.240937,0.442813
-1.9768e-06,0.124375,0.480625
-1.9764e-06,0.040625,0.560313
-1.9760e-06,-0.0003125,0.560625
-1.9756e-06,0.0009375,0.522813
-1.9752e-06,0.0878125,0.441875
-1.9748e-06,0.157813,0.439688
-1.9744e-06,0.0759375,0.439688
-1.9740e-06,0.078125,0.482813
-1.9736e-06,0.04125,0.560625
-1.9732e-06,0.12,0.470625
-1.9728e-06,0.0796875,0.401563
-1.9724e-06,0.0803125,0.48125
-1.9720e-06,0.0803125,0.439063
-1.9716e-06,0.121875,0.4
-1.9712e-06,0.207187,0.358438
-1.9708e-06,0.231562,0.522188
-1.9704e-06,0.03125,0.51875
-1.9700e-06,0.0846875,0.483438
-1.9696e-06,0.160625,0.556563
-1.9692e-06,0.040625,0.353125
-1.9688e-06,0.12,0.448125
-1.9684e-06,0.0375,0.52
-1.9680e-06,0.184375,0.402188
-1.9676e-06,0.164063,0.434688
-1.9672e-06,0.0803125,0.4425
-1.9668e-06,0.08,0.435938
-1.9664e-06,0.04,0.518438
-1.9660e-06,0.16,0.44375
-1.9656e-06,0.121875,0.359688
-1.9652e-06,0.0790625,0.438125
-1.9648e-06,0.11875,0.480313
-1.9644e-06,0.11875,0.361563
-1.9640e-06,0.158438,0.352813
-1.9636e-06,0.12375,0.517188
-1.9632e-06,0.08,0.445313
-1.9628e-06,0.162188,0.40625
-1.9624e-06,0.239375,0.3475
-1.9620e-06,0.110625,0.595938
-1.9616e-06,-0.03875,0.486875
-1.9612e-06,0.120938,0.44125
-1.9608e-06,0.0796875,0.360625
-1.9604e-06,0.158125,0.478438
-1.9600e-06,0.122188,0.443438
