"TIME","CH1","CH2"
-1.000e-06,-0.700781,0.0359375
-9.998e-07,-0.596875,0.16
-9.996e-07,-0.497656,0.0828125
-9.994e-07,-0.399219,0.126563
-9.992e-07,-0.403906,0.199375
-9.990e-07,-0.601563,0.195625
-9.988e-07,-0.702344,0.159063
-9.986e-07,-0.700781,0.194688
-9.984e-07,-0.594531,0.0790625
-9.982e-07,-0.4,0.15875
-9.980e-07,-0.500781,0.0009375
-9.978e-07,-0.503906,0.128438
-9.976e-07,-0.704688,0.159375
-9.974e-07,-0.7,0.237813
-9.972e-07,-0.813281,0.08625
-9.970e-07,-0.885938,0.0859375
-9.968e-07,-0.482813,0.119687
-9.966e-07,-0.524219,0.1275
-9.964e-07,-0.577344,0.240313
-9.962e-07,-0.307813,0.189375
-9.960e-07,-0.717188,0.161875
-9.958e-07,-0.59375,0.192188
-9.956e-07,-0.592188,0.081875
-9.954e-07,-0.513281,0.24
-9.952e-07,-0.696094,0.08
-9.950e-07,-0.492188,0.20875
-9.948e-07,-0.607813,0.117188
-9.946e-07,-0.482031,0.123438
-9.944e-07,-0.408594,0.119063
-9.942e-07,-0.501563,0.12625
-9.940e-07,-0.509375,0.200937
-9.938e-07,-0.716406,0.179063
-9.936e-07,-0.684375,0.0403125
-9.934e-07,-0.605469,0.125938
-9.932e-07,-0.700781,0.119063
-9.930e-07,-0.59375,0.0821875
-9.928e-07,-0.601563,0.12
-9.926e-07,-0.48125,0.126875
-9.924e-07,-0.300781,0.241563
-9.922e-07,-0.595313,0.152188
-9.920e-07,-0.698438,0.079375
-9.918e-07,-0.5,0.119375
-9.916e-07,-0.596094,0.115625
-9.914e-07,-0.507031,0.2375
-9.912e-07,-0.588281,0.0796875
-9.910e-07,-0.695313,0.203125
-9.908e-07,-0.636719,0.0803125
-9.906e-07,-0.3875,0.200312
-9.904e-07,-0.658594,0.0859375
-9.902e-07,-0.6375,0.190938
-9.900e-07,-0.592188,0.244063
-9.898e-07,-0.6,0.2375
-9.896e-07,-0.603906,0.277813
-9.894e-07,-0.505469,0.235938
-9.892e-07,-0.501563,0.15625
-9.890e-07,-0.405469,0.28
-9.888e-07,-0.403125,0.169687
-9.886e-07,-0.394531,0.158438
-9.884e-07,-0.602344,0.199063
-9.882e-07,-0.40625,0.200937
-9.880e-07,-0.399219,0.197813
-9.878e-07,-0.497656,0.201875
-9.876e-07,-0.603906,0.0815625
-9.874e-07,-0.4,0.163125
-9.872e-07,-0.6,0.1975
-9.870e-07,-0.509375,0.239688
-9.868e-07,-0.49375,0.202188
-9.866e-07,-0.599219,0.200625
-9.864e-07,-0.50625,0.159375
-9.862e-07,-0.492188,0.2
-9.860e-07,-0.7,0.125312
-9.858e-07,-0.508594,0.0803125
-9.856e-07,-0.4,0.108438
