# "TIME" "CH1" "CH2"  
-1.000e-06 0.002 7.96875e-05  
-9.998e-07 8.59375e-05 -1.5625e-05  
-9.996e-07 0.000984375 -0.000281875  
-9.994e-07 0.00104688 5.625e-05  
-9.992e-07 0 0.00024  
-9.990e-07 0.000992188 0.000445  
-9.988e-07 0.000992188 0.00055875  
-9.986e-07 0.002 0.000470938  
-9.984e-07 0.000929688 0.000280938  
-9.982e-07 0.000992188 0.000239063  
-9.980e-07 0.00199219 0.00031125  
-9.978e-07 0.001 0.00069625  
-9.976e-07 0.00202344 0.000764063  
-9.974e-07 0.00189063 0.000595313  
-9.972e-07 -0.000921875 0.000332813  
-9.970e-07 0.00301563 8.09375e-05  
-9.968e-07 -7.8125e-05 0.000353438  
-9.966e-07 0 0.0004925  
-9.964e-07 0.000109375 0.00068  
-9.962e-07 0.00307031 0.000435625  
-9.960e-07 0.00173438 0.0002425  
-9.958e-07 0.000148438 0.000239688  
-9.956e-07 0.00303906 0.000279375  
-9.954e-07 -0.000195313 0.00040125  
-9.952e-07 0.0001875 0.000283125  
-9.950e-07 0.00203125 0.000329062  
-9.948e-07 0.00210938 0.00048  
-9.946e-07 0.00402344 0.000430938  
-9.944e-07 0.00286719 0.00031625  
-9.942e-07 0.0019375 0.000290625  
-9.940e-07 0.0021875 0.000560313  
-9.938e-07 0.00396875 0.000374375  
-9.936e-07 0.000898438 0.000280938  
-9.934e-07 2.34375e-05 0.000271563  
-9.932e-07 0.001 0.000156875  
-9.930e-07 -4.6875e-05 0.000216875  
-9.928e-07 0 0.000451563  
-9.926e-07 0.00119531 0.000551563  
-9.924e-07 0.00289844 0.000439063  
-9.922e-07 -0.00107031 0.000368438  
-9.920e-07 0.00130469 7.3125e-05  
-9.918e-07 0.00300781 0.000143438  
-9.916e-07 0.00101563 0.000331563  
-9.914e-07 0.00196094 0.000516875  
-9.912e-07 0.00201563 0.000317188  
-9.910e-07 0.00307813 0.000325938  
-9.908e-07 1.5625e-05 0.000444063  
-9.906e-07 0.00279688 0.00069625  
-9.904e-07 0.00124219 0.00056875  
-9.902e-07 0.00178906 0.000346875  
-9.900e-07 0.0013125 0.00013125  
-9.898e-07 0.000140625 7.84375e-05  
-9.896e-07 -0.000109375 0.000264063  
-9.894e-07 0.00153125 0.0002825  
-9.892e-07 0.00501563 0.00024  
-9.890e-07 0.0013125 0.00017125  
-9.888e-07 -1.5625e-05 -7.09375e-05  
-9.886e-07 -5.46875e-05 0.000130937  
-9.884e-07 0.000976563 0.00058  
-9.882e-07 0.000960938 0.000517812  
-9.880e-07 0.00116406 0.000333438  
-9.878e-07 -0.00190625 3.875e-05  
-9.876e-07 -0.00110938 -2.5e-06  
-9.874e-07 0.00101563 8.1875e-05  
-9.872e-07 0.00299219 0.000315313  
-9.870e-07 0.0009375 0.000236875  
-9.868e-07 0.00102344 0.00027375  
-9.866e-07 0.00200781 0.000318125  
-9.864e-07 0.000976563 5.0625e-05  
-9.862e-07 -2.34375e-05 3.125e-07  
-9.860e-07 -0.00103125 0.000109687  
-9.858e-07 3.90625e-05 0.00037125  
-9.856e-07 0.00299219 0.000439688  
-9.854e-07 0.001 0.00038625  
-9.852e-07 0.00297656 0.000161563  
-9.850e-07 7.8125e-06 0.000250313  
-9.848e-07 0.00203125 0.00039125  
-9.846e-07 2.34375e-05 0.00064625  
-9.844e-07 -0.00200781 0.000647813  
-9.842e-07 -0.000914063 0.00033375  
-9.840e-07 0.00204688 1.5625e-06  
-9.838e-07 0.00195313 -0.000204375  
-9.836e-07 -0.000140625 -9.65625e-05  
-9.834e-07 -0.000875 0.000272813  
-9.832e-07 0.00205469 0.000562188  
-9.830e-07 -0.000351563 0.000620938  
-9.828e-07 -0.000671875 0.000197188  
-9.826e-07 0.00407031 -0.0001  
-9.824e-07 0.000703125 -0.000159688  
-9.822e-07 0.000109375 -8.28125e-05  
-9.820e-07 0.000859375 -0.000160625  
-9.818e-07 -0.000945313 -6.84375e-05  
-9.816e-07 0.00219531 -8e-05  
-9.814e-07 0.00178906 -0.000114375  
-9.812e-07 -0.000132813 4.75e-05  
-9.810e-07 0.00133594 0.0002175  
-9.808e-07 0.00392187 0.00040875  
-9.806e-07 0.000734375 0.000564375  
-9.804e-07 0.00110938 0.000478438  
-9.802e-07 0.00208594 0.000484688  
-9.800e-07 0.00183594 0.000480312  
-9.798e-07 -7.8125e-05 0.000438125  
-9.796e-07 7.8125e-06 0.000399063  
-9.794e-07 4.6875e-05 0.000430313  
-9.792e-07 0.00102344 0.000639688  
-9.790e-07 0.00105469 0.000369687  
-9.788e-07 0.00197656 0.0002  
-9.786e-07 0.00196094 0.000237813  
-9.784e-07 0.00499219 0.000160625  
-9.782e-07 7.03125e-05 0.000243125  
-9.780e-07 0 0.00031625  
-9.778e-07 -0.00115625 0.000355313  
-9.776e-07 0.00278906 0.000276563  
-9.774e-07 0.00142188 0.000535938  
-9.772e-07 -0.0001875 0.000524062  
-9.770e-07 0.00175 0.000478125  
-9.768e-07 0.00200781 0.000249687  
-9.766e-07 0.00275781 0.000349375  
-9.764e-07 0.00310156 0.000466563  
-9.762e-07 0.00215625 0.000520313  
-9.760e-07 8.59375e-05 0.000414375  
-9.758e-07 -0.000125 0.000236563  
-9.756e-07 0.00100781 0.0002325  
-9.754e-07 1.5625e-05 0.00048  
-9.752e-07 0.000125 0.000704687  
-9.750e-07 -0.002 0.00076375  
-9.748e-07 8.59375e-05 0.000454063  
-9.746e-07 -0.000929688 0.000209688  
-9.744e-07 -0.00200781 3.75e-05  
-9.742e-07 0.000929688 0.000235313  
-9.740e-07 0.00305469 0.000395313  
-9.738e-07 7.8125e-06 0.000393438  
-9.736e-07 0.002 7.25e-05  
-9.734e-07 6.25e-05 -0.00022875  
-9.732e-07 0.00188281 -0.000400625  
-9.730e-07 0.00121875 -0.000247187  
-9.728e-07 -0.00200781 9.1875e-05  
-9.726e-07 0.000898438 0.000429688  
-9.724e-07 0.00100781 0.000485625  
-9.722e-07 0.001 0.000283438  
-9.720e-07 0.00101563 -0.000105  
-9.718e-07 0.00298438 -3.71875e-05  
-9.716e-07 0.00297656 0.000215625  
-9.714e-07 0.00197656 0.000590313  
-9.712e-07 0.00102344 0.00072875  
-9.710e-07 0.00196094 0.000495313  
-9.708e-07 0.00111719 0.000184688  
-9.706e-07 0.00394531 4.0625e-05  
-9.704e-07 -0.000125 0.000111875  
-9.702e-07 0.00214844 0.000234063  
-9.700e-07 0.00179688 0.000550625  
-9.698e-07 2.34375e-05 0.000404688  
-9.696e-07 0.00213281 9.3125e-05  
-9.694e-07 0.000882813 -0.000204375  
-9.692e-07 7.03125e-05 -0.000174062  
-9.690e-07 0.00211719 -8e-05  
-9.688e-07 0.00188281 -1.8125e-05  
-9.686e-07 0.00101563 0.000239375  
-9.684e-07 0.00202344 0.000236563  
-9.682e-07 0.00203125 0.000397813  
-9.680e-07 0.00303125 0.000321563  
-9.678e-07 0.00182813 0.000438438  
-9.676e-07 -0.000234375 0.000440937  
-9.674e-07 -0.000992188 0.000480312  
-9.672e-07 1.5625e-05 0.000519062  
-9.670e-07 0.00113281 0.00055875  
-9.668e-07 0.00302344 0.000370625  
-9.666e-07 0.00192969 0.000146563  
