# "TIME" "CH1" "CH2"  
-2.0000e-06 0.385938 0.4  
-1.9996e-06 0.304688 0.596094  
-1.9992e-06 0.219531 0.410156  
-1.9988e-06 -0.2 0.39375  
-1.9984e-06 0.204688 0.4875  
-1.9980e-06 0.204688 0.609375  
-1.9976e-06 0.496875 0.401563  
-1.9972e-06 0.0945313 0.590625  
-1.9968e-06 0.409375 0.601563  
-1.9964e-06 0.500781 0.498438  
-1.9960e-06 0.103125 0.402344  
-1.9956e-06 0.204688 0.295313  
-1.9952e-06 -0.0992188 0.796094  
-1.9948e-06 0.101563 0.517188  
-1.9944e-06 0.101563 0.585156  
-1.9940e-06 0.401563 0.609375  
-1.9936e-06 0.0890625 0.307031  
-1.9932e-06 0.00234375 0.388281  
-1.9928e-06 0.197656 0.702344  
-1.9924e-06 0.305469 0.800781  
-1.9920e-06 0.101563 0.9  
-1.9916e-06 0.201563 0.698438  
-1.9912e-06 0.0101563 0.598438  
-1.9908e-06 0.090625 0.696875  
-1.9904e-06 0.2 0.696875  
-1.9900e-06 0.101563 0.710938  
-1.9896e-06 0.1 0.500781  
-1.9892e-06 0.0984375 0.7  
-1.9888e-06 0.200781 0.698438  
-1.9884e-06 0.0984375 0.496094  
-1.9880e-06 0.117188 0.5  
-1.9876e-06 -0.209375 0.599219  
-1.9872e-06 0.292188 0.600781  
-1.9868e-06 0.00625 0.598438  
-1.9864e-06 0.199219 0.60625  
-1.9860e-06 -0.00078125 0.500781  
-1.9856e-06 0.100781 0.508594  
-1.9852e-06 -0.109375 0.39375  
-1.9848e-06 -0.0851563 0.699219  
-1.9844e-06 0.299219 0.499219  
-1.9840e-06 -0.00078125 0.702344  
-1.9836e-06 0.4 0.596875  
-1.9832e-06 0.201563 0.4  
-1.9828e-06 0.003125 0.598438  
-1.9824e-06 0.402344 0.698438  
-1.9820e-06 0.192969 0.613281  
-1.9816e-06 0.208594 0.300781  
-1.9812e-06 0.188281 0.495313  
-1.9808e-06 -0.1 0.5  
-1.9804e-06 0.200781 0.708594  
-1.9800e-06 0.201563 0.794531  
-1.9796e-06 -0.0015625 0.491406  
-1.9792e-06 0.191406 0.403125  
-1.9788e-06 0.20625 0.6  
-1.9784e-06 0.19375 0.505469  
-1.9780e-06 0.303125 0.295313  
-1.9776e-06 0.110938 0.595313  
-1.9772e-06 0.104688 0.405469  
-1.9768e-06 0.0976563 0.580469  
-1.9764e-06 0.499219 0.607813  
-1.9760e-06 0.310156 0.497656  
-1.9756e-06 0.2 0.799219  
-1.9752e-06 0.107813 0.698438  
-1.9748e-06 -0.00234375 0.697656  
-1.9744e-06 0.1 0.703125  
-1.9740e-06 -0.00078125 0.6  
-1.9736e-06 0.211719 0.607031  
-1.9732e-06 0.291406 0.403125  
-1.9728e-06 -0.105469 0.5875  
-1.9724e-06 0.103125 0.8  
-1.9720e-06 0.2 0.497656  
-1.9716e-06 0.3 0.713281  
-1.9712e-06 0.203906 0.898438  
-1.9708e-06 -0.0015625 0.695313  
-1.9704e-06 0.3 0.600781  
-1.9700e-06 0.0945313 0.600781  
-1.9696e-06 -0.0992188 0.498438  
-1.9692e-06 0.125 0.6  
-1.9688e-06 0.402344 0.399219  
-1.9684e-06 0.3 0.507813  
-1.9680e-06 0.4 0.896875  
-1.9676e-06 0.192188 0.488281  
-1.9672e-06 0.1 0.6  
-1.9668e-06 0.2 0.394531  
-1.9664e-06 0.300781 0.619531  
-1.9660e-06 0.197656 0.79375  
-1.9656e-06 0.402344 0.496875  
-1.9652e-06 0.0015625 0.701563  
-1.9648e-06 0.192188 0.200781  
-1.9644e-06 0.125 0.590625  
-1.9640e-06 -0.127344 0.510156  
-1.9636e-06 0.30625 0.4  
-1.9632e-06 0.1 0.514844  
-1.9628e-06 0.4 0.800781  
-1.9624e-06 0.197656 0.702344  
-1.9620e-06 0.2 0.896094  
-1.9616e-06 0.3 0.405469  
-1.9612e-06 0.395313 0.494531  
-1.9608e-06 -0.003125 0.594531  
-1.9604e-06 0.204688 0.703125  
-1.9600e-06 0.300781 0.499219  
-1.9596e-06 0.300781 0.700781  
-1.9592e-06 0.2 0.489063  
-1.9588e-06 0.198438 0.507031  
-1.9584e-06 0.200781 0.701563  
-1.9580e-06 0 0.596875  
-1.9576e-06 0.311719 0.496875  
-1.9572e-06 0.491406 0.703906  
-1.9568e-06 0.174219 0.300781  
-1.9564e-06 0.121875 0.598438  
-1.9560e-06 0.297656 0.392969  
-1.9556e-06 0.205469 0.513281  
-1.9552e-06 0.283594 0.803125  
-1.9548e-06 0.0015625 0.585156  
-1.9544e-06 0.501563 0.502344  
-1.9540e-06 0.396094 0.71875  
-1.9536e-06 0.103125 0.998438  
-1.9532e-06 0.102344 0.404688  
-1.9528e-06 0.2 0.582031  
-1.9524e-06 0.0890625 0.8  
-1.9520e-06 0.11875 0.600781  
-1.9516e-06 0.504688 0.605469  
-1.9512e-06 0.186719 0.692969  
-1.9508e-06 0.1 0.501563  
-1.9504e-06 0.495313 0.700781  
-1.9500e-06 0.307031 0.489063  
-1.9496e-06 0.396875 0.615625  
-1.9492e-06 0.300781 0.694531  
-1.9488e-06 0.300781 0.499219  
-1.9484e-06 0.2 0.7  
-1.9480e-06 0.3 0.800781  
-1.9476e-06 0.200781 0.797656  
-1.9472e-06 0.3 0.59375  
-1.9468e-06 -0.003125 0.50625  
-1.9464e-06 0.396875 0.697656  
-1.9460e-06 0.198438 0.495313  
-1.9456e-06 0.401563 0.602344  
-1.9452e-06 -0.003125 0.498438  
-1.9448e-06 0.208594 0.5  
-1.9444e-06 0.301563 0.6  
-1.9440e-06 0.409375 0.598438  
-1.9436e-06 0.382031 0.699219  
-1.9432e-06 0.0804688 0.598438  
-1.9428e-06 0.119531 0.707813  
-1.9424e-06 0.402344 0.692188  
-1.9420e-06 0.298438 0.592188  
-1.9416e-06 0.3 0.610156  
-1.9412e-06 0.299219 0.808594  
-1.9408e-06 0.299219 0.685156  
-1.9404e-06 0.0984375 0.298438  
-1.9400e-06 0.200781 0.502344  
-1.9396e-06 0.0992188 0.394531  
