# t/min Det1    Det2
0   0   200
1   4   197
2   7   197
3   6   198
4   4   194
5   4   197
6   7   197
7   11  195
8   16  196
9   21  196
10  29  193
11  37  197
12  45  196
13  55  197
14  64  194
15  71  195
16  81  192
17  91  192
18  102 192
19  115 193
20  125 192
21  140 191
22  159 193
23  173 192
24  190 191
25  214 191
26  240 194
27  263 194
28  283 190
29  309 192
30  340 192
31  369 193
32  395 192
33  422 191
34  457 191
35  489 191
# Idiot faengt an zu bohren
36  526 191
37  568 190
38  610 190
39  653 190
40  694 190
41  744 190
42  789 189
43  831 188
44  898 189
45  948 188
# Umgestellt auf 10^-4
46  1000    189
47  1070    187
48  1120    187
49  1180    185
50  1250    186
51  1290    185
52  1350    183
53  1400    183
