# I/mA  U/V
0.025   0.348
0.05    0.347
0.1     0.347
0.14    0.3465
0.18    0.346
0.25    0.346
0.29    0.345
0.34    0.345
0.4     0.345
0.48    0.344
0.582   0.343
0.74    0.342
0.92    0.341
1.135   0.340
1.25    0.339
1.45    0.337
1.7     0.335
1.85    0.334
2.4     0.330
3.00    0.326
3.5     0.321
4.00    0.317
4.7     0.312
5.4     0.307
6.5     0.299
7.4     0.292
8.0     0.287
8.9     0.279
10.0    0.269
11.3    0.257
12.2    0.248
13.2    0.238
14.2    0.228
14.9    0.221
15.2    0.218
15.7    0.211
16.3    0.204
17.4    0.190
17.56   0.188
18.3    0.181
19.0    0.169
20.1    0.152
21.0    0.134
21.8    0.119
22.6    0.101
23.2    0.079
24.0    0.042
