# I=1A, U=1.91 +- 0.005 V Elektrolyseur
# Immer Überschuss:
# R/Ω   U/mV    I/mA
0.3     180     346
0.5     218     330
1       329     275
2       456     193
3       522     151
5       577     118
20      728     40
50      832     12
100     840     9


# I=0.2A, U=1.55V
0.3     84      162
0.5     105     160
1       185     155
2       354     150
3       462     133
5       530     109
20      713     40
50      821     11
100     837     9


# I=0.1A, U=1.502V
0.3     42      81
0.5     50      78
1       87      73
2       165     70
3       234     68
5       315     65
20      651     36
50      784     11
100     803     8

# Innenwiderstand R=0.1Ω in Reihe zum Netzgerät
