# I/mA   P/W
# Untergrund
0   130e-9

3   652e-9
5   1.05e-6
8   1.74e-6
10  2.38e-6
13  3.26e-6
15  3.83e-6
20  5.45e-6
25  7.27e-6
30  9.23e-6
35  11.7e-6
40  14.5e-6
45  17.9e-6
50  22.7e-6
55  29.1e-6
56  30.4e-6
57  32.2e-6
58  34.0e-6
59  36.0e-6
60  425e-6
61  1.15e-3
62  1.85e-3
63  2.40e-3
64  2.98e-3
65  3.45e-3
67  4.28e-3
70  5.52e-3
75  7.26e-3
80  10.4e-3
85  13.2e-3
90  15.5e-3
95  16.9e-3
100 20.7e-3
105 23.1e-3
110 25.2e-3
115 28.2e-3
120 31.7e-3
130 37.0e-3
140 42.6e-3
146 44.1e-3


# Untergrund
0   3.3e-9

115 33.5e-6
120 36.0e-6
130 42.3e-6
140 48.6e-6
146 52.0e-6
150 54.2e-6
165 63.2e-6
180 71.4e-6
195 80.2e-6
210 90.2e-6
225 98.0e-6
240 105e-6
255 114e-6
269 124e-6
280 128e-6
