# T/°C  P/nW
# Untergrund P = 16 nW
25.1    32
25.3    32
25.5    27
25.7    23
25.9    20
26.0    21
26.2    28
26.4    33
26.6    36
26.8    31
26.9    29
27.0    24
27.2    21
27.4    24
27.6    33
27.8    40
28.0    39
28.2    33
28.4    25
28.6    23
28.8    32
29.0    46
29.2    53
29.4    47
29.6    33
29.8    25
30.0    32
30.2    54
30.4    67
30.6    72
30.8    58
31.0    37
31.2    29
31.4    49
31.6    74
31.8    98
32.0    94
32.2    66
32.4    38
32.6    41
32.8    78
33.0    115
33.2    123
33.4    97
33.6    73
33.8    103
34.0    194
34.2    296
34.4    340
34.6    302
34.7    284
34.8    337
35.0    761
35.2    1.22e3
35.4    2.80e3
35.5    3.92e3
35.6    10.0e3
35.8    14.4e3
36.0    19.0e3
36.2    20.2e3
36.3    21.1e3
36.4    22.0e3
36.5    21.8e3
36.6    18.7e3
36.8    14.7e3
37.0    8.20e3
37.2    4.10e3
37.4    1.66e3
37.5    667
37.6    320
37.7    237
37.8    299
37.9    393
38.0    516
38.2    700
38.4    627
38.6    301
38.8    108
38.9    69
39.0    72
39.1    105
39.2    154
39.4    276
39.6    294
39.8    226
40.0    118
