# Winkel der lambda/2-Platte/°  P/µW
# Untergrund P = 11.8 nW
0       22.9
2.5     22.5
5       21.5
7.5     19.7
10      17.4
12.5    15
15      12.4
17.5    9.6
20      7.7
22.5    5.1
25      3.4
27.5    2.1
30      1.26
32.5    662e-3
35      257e-3
37.5    110e-3
40      31.7e-3
42.5    14.8e-3
45      12.8e-3
47.5    18.3e-3
50      49.6e-3
52.5    166e-3
55      391e-3
57.5    1.00
60      1.57
62.5    2.59
65      4.17
67.5    6.53
70      8.40
72.5    11.0
75      13.4
77.5    15.5
80      18.2
82.5    20.2
85      22.0
87.5    22.6
90      22.7
